,id,address,coord,district
551,21623,"город Москва, Ленинградский проспект, дом 48",37.543479 55.796152,"Россия, Москва, Северный административный округ, район Аэропорт"
552,71678,"город Москва, Ленинградский проспект, дом 48",37.543479 55.796152,"Россия, Москва, Северный административный округ, район Аэропорт"
553,26124,"город Москва, Ленинградский проспект, дом 48",37.543479 55.796152,"Россия, Москва, Северный административный округ, район Аэропорт"
554,25606,"город Москва, Ленинградский проспект, дом 56",37.537955 55.79851,"Россия, Москва, Северный административный округ, район Аэропорт"
555,143379,"город Москва, Ленинградский проспект, дом 60, корпус 1",37.535341 55.799684,"Россия, Москва, Северный административный округ, район Аэропорт"
556,125031,"город Москва, Ленинградский проспект, дом 62",37.533382 55.801035,"Россия, Москва, Северный административный округ, район Аэропорт"
557,81474,"город Москва, Ленинградский проспект, дом 62",37.533382 55.801035,"Россия, Москва, Северный административный округ, район Аэропорт"
558,99299,"город Москва, Ленинградский проспект, дом 62",37.533382 55.801035,"Россия, Москва, Северный административный округ, район Аэропорт"
559,81473,"город Москва, Ленинградский проспект, дом 66",37.526007 55.802755,"Россия, Москва, Северный административный округ, район Аэропорт"
560,143289,"город Москва, Ленинградский проспект, дом 66",37.526007 55.802755,"Россия, Москва, Северный административный округ, район Аэропорт"
561,141395,"город Москва, Ленинградский проспект, дом 74, корпус 1",37.516952 55.805133,"Россия, Москва, Северный административный округ, район Аэропорт"
562,100556,"город Москва, Ленинградский проспект, дом 74, корпус 1",37.516952 55.805133,"Россия, Москва, Северный административный округ, район Аэропорт"
563,22693,"город Москва, Ленинградский проспект, дом 74, корпус 1",37.516952 55.805133,"Россия, Москва, Северный административный округ, район Аэропорт"
564,149256,"город Москва, Ленинградский проспект, дом 74, корпус 6",37.51688 55.806413,"Россия, Москва, Северный административный округ, район Аэропорт"
565,140186,"город Москва, Ленинградский проспект, дом 77, корпус 2",37.508176 55.805214,"Россия, Москва, Северный административный округ, район Сокол"
566,26122,"город Москва, Ленинградский проспект, дом 78, корпус 1",37.513296 55.806059,"Россия, Москва, Северный административный округ, район Аэропорт"
567,73830,"город Москва, Ленинградский проспект, дом 78, корпус 1",37.513296 55.806059,"Россия, Москва, Северный административный округ, район Аэропорт"
582,80848,"город Москва, Ленинский проспект, дом 2А",37.610988 55.728778,"Россия, Москва, Центральный административный округ, район Якиманка"
583,139687,"город Москва, Ленинский проспект, дом 11, строение 1",37.603945 55.723207,"Россия, Москва, Центральный административный округ, район Якиманка"
584,22636,"город Москва, Ленинский проспект, дом 13",37.602085 55.722036,"Россия, Москва, Центральный административный округ, район Якиманка"
585,26254,"город Москва, Ленинский проспект, дом 28",37.588566 55.713451,"Россия, Москва, Южный административный округ, Донской район"
586,154752,"город Москва, Ленинский проспект, дом 34/1",37.57775 55.707365,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
587,70724,"город Москва, Ленинский проспект, дом 37",37.585691 55.709956,"Россия, Москва, Южный административный округ, Донской район"
588,76398,"город Москва, Ленинский проспект, дом 37",37.585691 55.709956,"Россия, Москва, Южный административный округ, Донской район"
589,27076,"город Москва, Ленинский проспект, дом 37",37.585691 55.709956,"Россия, Москва, Южный административный округ, Донской район"
590,27259,"город Москва, Ленинский проспект, дом 37",37.585691 55.709956,"Россия, Москва, Южный административный округ, Донской район"
591,134332,"город Москва, Ленинский проспект, дом 37А",37.58667 55.708607,"Россия, Москва, Южный административный округ, Донской район"
592,21550,"город Москва, Ленинский проспект, дом 43",37.576277 55.704788,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
593,25780,"город Москва, Ленинский проспект, дом 43",37.576277 55.704788,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
594,27083,"город Москва, Ленинский проспект, дом 57",37.561544 55.696575,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
595,26680,"город Москва, Ленинский проспект, дом 57",37.561544 55.696575,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
596,117453,"город Москва, Ленинский проспект, дом 61/1",37.558508 55.694855,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
597,137523,"город Москва, Ленинский проспект, дом 68/10",37.545833 55.689136,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
598,26678,"город Москва, Ленинский проспект, дом 68/10",37.545833 55.689136,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
